[ 2025-07-19 09:45:45,500 ] Connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 09:45:45,580 ] Disconnected from gameserver
[ 2025-07-19 09:46:29,135 ] BattlEye: "Initialized (v1.249)"
[ 2025-07-19 09:46:29,135 ] BattlEye: "Config entry: GameID tibia"
[ 2025-07-19 09:46:29,135 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-07-19 09:46:29,234 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171"  (unprotected:  "tcp://prod-lb-na.tibia.com:7171" )  requested (Charakter "Lephir Carin" )
[ 2025-07-19 09:46:29,234 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 09:46:29,261 ] Connected to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-19 09:46:29,984 ] Request connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"
[ 2025-07-19 09:46:30,153 ] Backup connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera" established
[ 2025-07-19 09:46:33,148 ] BattlEye: "Server computed GUID: dcd111cd642bc58d8a1d548ba6c13d53"
[ 2025-07-19 10:07:50,866 ] Retrying to obtain clipboard.
[ 2025-07-19 10:11:41,231 ] Retrying to obtain clipboard.
[ 2025-07-19 10:28:25,397 ] Connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 10:28:25,397 ] Connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-19 10:28:25,459 ] Disconnected from gameserver
[ 2025-07-21 10:25:28,350 ] Using spritesheet cache size of 910
[ 2025-07-21 10:25:29,777 ] Asset loading complete
[ 2025-07-21 10:25:31,025 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x2f7691f7cc0), parent's thread is QThread(0x2f75fe047f0), current thread is QSGRenderThread(0x2f769147ab0)
[ 2025-07-21 10:26:32,345 ] BattlEye: "Initialized (v1.249)"
[ 2025-07-21 10:26:32,346 ] BattlEye: "Config entry: GameID tibia"
[ 2025-07-21 10:26:32,346 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-07-21 10:26:32,446 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171"  (unprotected:  "tcp://prod-lb-na.tibia.com:7171" )  requested (Charakter "Lephir Carin" )
[ 2025-07-21 10:26:32,446 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-21 10:26:32,467 ] Connected to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-21 10:26:33,308 ] Request connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"
[ 2025-07-21 10:26:33,476 ] Backup connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera" established
[ 2025-07-21 10:26:36,338 ] BattlEye: "Server computed GUID: dcd111cd642bc58d8a1d548ba6c13d53"
[ 2025-07-21 10:29:43,890 ] Retrying to obtain clipboard.
[ 2025-07-21 10:29:47,015 ] Connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-21 10:29:47,015 ] Connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-21 10:29:47,065 ] Disconnected from gameserver
[ 2025-07-21 10:44:19,742 ] Using spritesheet cache size of 910
[ 2025-07-21 10:44:21,506 ] Asset loading complete
[ 2025-07-21 10:44:22,497 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x23ee586fed0), parent's thread is QThread(0x23edc6efe60), current thread is QSGRenderThread(0x23ee4b64880)
[ 2025-07-21 17:37:18,846 ] Using spritesheet cache size of 910
[ 2025-07-21 17:37:29,366 ] Asset loading complete
[ 2025-07-21 17:37:31,527 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x1debc0acd10), parent's thread is QThread(0x1deb2da5280), current thread is QSGRenderThread(0x1debb371c50)
[ 2025-07-24 15:03:45,656 ] Using spritesheet cache size of 910
[ 2025-07-24 15:03:47,092 ] Asset loading complete
[ 2025-07-24 15:03:48,159 ] QObject: Cannot create children for a parent that is in a different thread.
(Parent is QQmlEngine(0x1ad5b2169f0), parent's thread is QThread(0x1ad52f94470), current thread is QSGRenderThread(0x1ad5a2fd4e0)
[ 2025-07-24 15:04:18,287 ] BattlEye: "Initialized (v1.249)"
[ 2025-07-24 15:04:18,287 ] BattlEye: "Config entry: GameID tibia"
[ 2025-07-24 15:04:18,287 ] BattlEye: "Config entry: MasterPort 7171"
[ 2025-07-24 15:04:18,394 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171"  (unprotected:  "tcp://prod-lb-na.tibia.com:7171" )  requested (Charakter "Lephir Carin" )
[ 2025-07-24 15:04:18,394 ] Request connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-24 15:04:18,416 ] Connected to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"
[ 2025-07-24 15:04:19,194 ] Request connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"
[ 2025-07-24 15:04:19,368 ] Backup connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera" established
[ 2025-07-24 15:04:22,290 ] BattlEye: "Server computed GUID: dcd111cd642bc58d8a1d548ba6c13d53"
[ 2025-07-24 15:04:37,395 ] Retrying to obtain clipboard.
[ 2025-07-24 15:05:13,721 ] Connection to gameserver  "tcp://prod-lb-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-24 15:05:13,721 ] Connection to gameserver  "tcp://prod-cf-na.tibia.com:7171" "Astera"  was disconnected ( "The remote host closed the connection" )
[ 2025-07-24 15:05:13,786 ] Disconnected from gameserver
[ 2025-08-24 16:45:39,451 ] Using spritesheet cache size of 910
[ 2025-08-24 16:45:41,082 ] Asset loading complete
[ 2025-08-24 16:45:42,165 ] QObject: Cannot create children for a parent that is in a different thread.
